username,password,college,level
Arun,xY7kP9mN,SNIS,L1
Ravi,zT4hQ8vR,CBIT,L2
Kiran,aW9mN6bQ,MGIT,L1
Vijay,pL3rT2dF,JNTUH,L1
Sita,uB5jV1cZ,VBIT,L2
Radha,tQ2nL9mS,GRRR,L1
Anil,mP6kF4zX,VNRV,L2
Pooja,sR1gJ7dH,CVSR,L1
Deepa,hT8kY6rQ,KMIT,L2
Raju,nB2mP9dL,TKR,L1
Meena,kF4tR6jW,MREC,L1
Ajay,vQ9pS3mN,ACEG,L2
Sneha,cH5dT2xL,MLRIT,L1
Raj,wN8bK4sM,GNIT,L1
Sunil,rT7mP2jH,BVRA,L2
Hari,gD6nF9zL,CMR,L1
Nita,pM3vR5kX,ICFAI,L2
Lata,sL9hJ2mC,VCEH,L1
Ramesh,xC7kP6dB,MIST,L2
Geeta,dQ4mZ7pL,GNI,L1
Pranav,hM6nP3cR,SNIS,L1
Shiva,zV8pQ5kD,CBIT,L2
Om,kJ2nH9mF,MGIT,L1
Maya,lQ6dW4pM,JNTUH,L2
Krish,mT5vY7rQ,VBIT,L1
Rani,nP8bC3dL,GRRR,L1
Nikhil,fH4mS2tN,VNRV,L2
Lakshmi,jW7rP6dK,CVSR,L1
Manu,uK9tY5hQ,KMIT,L2
Bala,qL2mD7nX,TKR,L1
